,label,path,divide
0,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4376.jpg,train
1,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.1051.jpg,train
2,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3983.jpg,train
3,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1494.jpg,train
4,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1194.jpg,train
5,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3780.jpg,train
6,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1111.jpg,train
7,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.807.jpg,train
8,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.637.jpg,train
9,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.2028.jpg,train
10,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1675.jpg,train
11,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.229.jpg,train
12,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.1292.jpg,train
13,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.2335.jpg,train
14,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4590.jpg,train
15,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.929.jpg,train
16,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3045.jpg,train
17,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4137.jpg,train
18,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4891.jpg,train
19,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3140.jpg,train
20,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4116.jpg,train
21,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.2488.jpg,train
22,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3804.jpg,train
23,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.2844.jpg,train
24,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3415.jpg,train
25,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4860.jpg,train
26,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.1426.jpg,train
27,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.445.jpg,train
28,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.814.jpg,train
29,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.332.jpg,train
30,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4099.jpg,train
31,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.2642.jpg,train
32,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.778.jpg,train
33,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4997.jpg,train
34,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4885.jpg,train
35,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.1894.jpg,train
36,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4677.jpg,train
37,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.2234.jpg,train
38,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4297.jpg,train
39,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1488.jpg,train
40,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4977.jpg,train
41,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3197.jpg,train
42,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4301.jpg,train
43,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3047.jpg,train
44,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.486.jpg,train
45,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3068.jpg,train
46,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4353.jpg,train
47,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3192.jpg,train
48,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3365.jpg,train
49,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.23.jpg,train
50,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3221.jpg,train
51,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4975.jpg,train
52,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.476.jpg,train
53,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4614.jpg,train
54,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1931.jpg,train
55,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1807.jpg,train
56,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.300.jpg,train
57,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.212.jpg,train
58,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.580.jpg,train
59,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1160.jpg,train
60,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.1517.jpg,train
61,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4936.jpg,train
62,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4414.jpg,train
63,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1761.jpg,train
64,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.741.jpg,train
65,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3830.jpg,train
66,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.2913.jpg,train
67,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.1119.jpg,train
68,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.363.jpg,train
69,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.309.jpg,train
70,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.2651.jpg,train
71,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.2195.jpg,train
72,cats,/kaggle/input/dogs-cats-images/dataset/test_set/cats/cat.4843.jpg,train
73,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3584.jpg,train
74,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3005.jpg,train
75,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3250.jpg,train
76,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1705.jpg,train
77,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3163.jpg,train
78,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.1451.jpg,train
79,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3964.jpg,train
80,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.733.jpg,train
81,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.109.jpg,train
82,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.3837.jpg,train
83,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.2814.jpg,train
84,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3352.jpg,train
85,dogs,/kaggle/input/dogs-cats-images/dataset/training_set/dogs/dog.3590.jpg,train
86,cats,/kaggle/input/dogs-cats-images/dataset/training_set/cats/cat.67.jpg,train
87,dogs,/kaggle/input/dogs-cats-images/dataset/test_set/dogs/dog.4973.jpg,train
